limite_credito;genero;nivel_educativo;estado_civil;edad;est_pago_sep;est_pago_ago;est_pago_jul;est_pago_jun;est_pago_may;est_pago_abr;deuda_sep;deuda_ago;deuda_jul;deuda_jun;deuda_may;deuda_abr;pago_sep;pago_ago;pago_jul;pago_jun;pago_may;pago_abr;incumplimiento_sig_mes;util_sep;util_ago;util_jul;util_jun;util_may;util_abr;avg_retraso;var_deuda_reciente;ratio_pago_sep;total_pagos;total_deuda;rango_edad_2
50000;0;3;3;23;1;2;0;0;0;0;50614;29173;28116;28771;29531;30211;0;1500;1100;1200;1300;1100;0;1.01228;0.58346;0.56232;0.57542;0.59062;0.60422;0.5;21441;0.0;6200;196416;1
20000;1;1;2;24;0;0;2;2;2;2;15376;18010;17428;18338;17905;19104;3200;0;1500;0;1650;0;1;0.7688;0.9005;0.8714;0.9169;0.89525;0.9552;1.3333333333333333;-2634;0.1776790671848973;6350;106161;1
320000;1;1;1;49;0;0;0;-1;-1;-1;253286;246536;194663;70074;5856;195599;10358;10000;75940;20000;195599;50000;0;0.79151875;0.770425;0.608321875;0.21898125;0.0183;0.611246875;-0.5;6750;0.04201414803517539;361897;966014;3
360000;0;1;1;49;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;-1.5;0;0.0;0;0;3
180000;0;1;2;29;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;-1.5;0;0.0;0;0;1
130000;0;3;2;39;0;0;0;0;0;-1;38358;27688;24489;20616;11802;930;3000;1537;1000;2000;930;33764;0;0.2950615384615385;0.21298461538461538;0.18837692307692308;0.15858461538461538;0.09078461538461538;0.007153846153846154;-0.16666666666666666;10670;0.1083501878069922;42231;123883;2
120000;0;2;1;39;-1;-1;-1;-1;-1;-1;316;316;316;0;632;316;316;316;0;632;316;0;1;0.0026333333333333334;0.0026333333333333334;0.0026333333333333334;0.0;0.005266666666666667;0.0026333333333333334;-1.0;0;1.0;1580;1896;2
70000;0;2;2;26;2;0;0;2;2;2;41087;42445;45020;44006;46905;46012;2007;3582;0;3601;0;1820;1;0.5869571428571428;0.6063571428571428;0.6431428571428571;0.6286571428571428;0.6700714285714285;0.6573142857142857;1.3333333333333333;-1358;0.0472847214041701;11010;265475;1
450000;0;1;1;40;-2;-2;-2;-2;-2;-2;5512;19420;1473;560;0;0;19428;1473;560;0;0;1128;1;0.012248888888888889;0.04315555555555556;0.0032733333333333334;0.0012444444444444445;0.0;0.0;-2.0;-13908;1.0004119464469619;22589;26965;3
90000;1;1;2;23;0;0;0;-1;0;0;4744;7070;0;5398;6360;8292;5757;0;5398;1200;2045;2000;0;0.05271111111111111;0.07855555555555556;0.0;0.059977777777777776;0.07066666666666667;0.09213333333333333;-0.16666666666666666;-2326;0.8142857142857143;16400;31864;1
50000;1;3;2;23;0;0;0;0;0;0;47620;41810;36023;28967;29829;30046;1973;1426;1001;1432;1062;997;0;0.9524;0.8362;0.72046;0.57934;0.59658;0.60092;0.0;5810;0.047189667543649845;7891;214295;1
60000;1;1;2;27;1;-2;-1;-1;-1;-1;-109;-425;259;-57;127;-189;0;1000;0;500;0;1000;1;-0.0018166666666666667;-0.007083333333333333;0.004316666666666667;-0.00095;0.002116666666666667;-0.00315;-0.8333333333333334;316;0.0;2500;-394;1
50000;0;3;2;30;0;0;0;0;0;0;22541;16138;17163;17878;18931;19617;1300;1300;1000;1500;1000;1012;0;0.45082;0.32276;0.34326;0.35756;0.37862;0.39234;0.0;6403;0.0805552113025158;7112;112268;2
50000;0;3;1;47;-1;-1;-1;-1;-1;-1;650;3415;3416;2040;30430;257;3415;3421;2044;30430;257;0;0;0.013;0.0683;0.06832;0.0408;0.6086;0.00514;-1.0;-2765;1.0;39567;40208;3
50000;1;1;2;26;0;0;0;0;0;0;15329;16575;17496;17907;18375;11400;1500;1500;1000;1000;1600;0;0;0.30658;0.3315;0.34992;0.35814;0.3675;0.228;0.0;-1246;0.09049773755656108;6600;97082;1
230000;0;1;2;27;-1;-1;-1;-1;-1;-1;16646;17265;13266;15339;14307;36923;17270;13281;15339;14307;37292;0;0;0.07237391304347826;0.07506521739130435;0.05767826086956522;0.06669130434782608;0.062204347826086956;0.16053478260869566;-1.0;-619;1.0002896032435564;97489;113746;1
50000;1;2;2;33;2;0;0;0;0;0;30518;29618;22102;22734;23217;23680;1718;1500;1000;1000;1000;716;1;0.61036;0.59236;0.44204;0.45468;0.46434;0.4736;0.3333333333333333;900;0.05800526706732392;6934;151869;2
100000;1;1;2;32;0;0;0;0;0;0;93036;84071;82880;80958;78703;75589;3023;3511;3302;3204;3200;2504;0;0.93036;0.84071;0.8288;0.80958;0.78703;0.75589;0.0;8965;0.03595770241819415;18744;495237;2
500000;0;2;1;54;-2;-2;-2;-2;-2;-2;10929;4152;22722;7521;71439;8981;4152;22827;7521;71439;981;51582;0;0.021858;0.008304;0.045444;0.015042;0.142878;0.017962;-2.0;6777;1.0;158502;125744;4
500000;1;1;1;58;-2;-2;-2;-2;-2;-2;13709;5006;31130;3180;0;5293;5006;31178;3180;0;5293;768;0;0.027418;0.010012;0.06226;0.00636;0.0;0.010586;-2.0;8703;1.0;45425;58318;4
160000;1;1;2;30;-1;-1;-2;-2;-2;-1;30265;-131;-527;-923;-1488;-1884;131;396;396;565;792;0;0;0.18915625;-0.00081875;-0.00329375;-0.00576875;-0.0093;-0.011775;-1.5;30396;0.0;2280;25312;2
280000;1;2;1;40;0;0;0;0;0;0;186503;181328;180422;170410;173901;177413;8026;8060;6300;6400;6400;6737;0;0.6660821428571428;0.6476;0.6443642857142857;0.6086071428571429;0.621075;0.6336178571428571;0.0;5175;0.04426233124503662;41923;1069977;3
60000;0;2;2;22;0;0;0;0;0;-1;15054;9806;11068;6026;-28335;18660;1500;1518;2043;0;47671;617;0;0.2509;0.16343333333333335;0.18446666666666667;0.10043333333333333;-0.47225;0.311;-0.16666666666666666;5248;0.1529675708749745;53349;32279;1
50000;1;1;2;25;1;-1;-1;-2;-2;-2;0;780;0;0;0;0;780;0;0;0;0;0;1;0.0;0.0156;0.0;0.0;0.0;0.0;-1.1666666666666667;-780;1.0;780;780;1
280000;1;1;2;31;-1;-1;2;-1;0;-1;498;9075;4641;9976;17976;9477;9075;0;9976;8000;9525;781;0;0.0017785714285714286;0.032410714285714286;0.016575;0.035628571428571426;0.0642;0.03384642857142857;-0.3333333333333333;-8577;1.0;37357;51643;2
360000;1;1;2;33;0;0;0;0;0;0;218668;221296;206895;628699;195969;179224;10000;7000;6000;188840;28000;4000;0;0.6074111111111111;0.6147111111111111;0.5747083333333334;1.7463861111111112;0.5443583333333334;0.4978444444444444;0.0;-2628;0.045188345022051914;243840;1650751;2
70000;0;1;2;25;0;0;0;0;0;0;67521;66999;63949;63699;64718;65970;3000;4500;4042;2500;2800;2500;0;0.9645857142857143;0.9571285714285714;0.9135571428571428;0.9099857142857143;0.9245428571428571;0.9424285714285714;0.0;522;0.04477678771324945;19342;392856;1
10000;1;2;2;22;0;0;0;0;0;0;1877;3184;6003;3576;3670;4451;1500;2927;1000;300;1000;500;0;0.1877;0.3184;0.6003;0.3576;0.367;0.4451;0.0;-1307;0.47110552763819097;7227;22761;1
140000;0;2;1;37;0;0;0;0;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0;0.4250285714285714;0.4396;0.4494642857142857;0.45914285714285713;0.4791357142857143;0.4985857142857143;0.0;-2040;0.04874561289483947;20000;385134;2
40000;0;1;2;30;0;0;0;2;0;0;18927;21295;25921;25209;26636;29197;3000;5000;0;2000;3000;0;0;0.473175;0.532375;0.648025;0.630225;0.6659;0.729925;0.3333333333333333;-2368;0.1408781404085466;13000;147185;2
210000;1;1;2;29;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0;0.0;0;0;1
20000;0;1;2;22;0;0;2;-1;0;0;14028;16484;15800;16341;16675;0;3000;0;16741;334;0;0;1;0.7014;0.8242;0.79;0.81705;0.83375;0.0;0.16666666666666666;-2456;0.18199466148992963;20075;79328;1
150000;0;4;2;46;0;0;-1;0;0;-2;4463;3034;1170;1170;0;0;1013;1170;0;0;0;0;1;0.029753333333333333;0.020226666666666667;0.0078;0.0078;0.0;0.0;-0.5;1429;0.3338826631509558;2183;9837;3
380000;1;2;2;32;-1;-1;-1;-1;-1;-1;22401;21540;15134;32018;11849;11873;21540;15138;24677;11851;11875;8251;0;0.05895;0.05668421052631579;0.03982631578947368;0.0842578947368421;0.03118157894736842;0.031244736842105263;-1.0;861;1.0;93332;114815;2
20000;1;1;2;24;0;0;0;0;0;0;17447;18479;19476;19865;20480;20063;1318;1315;704;928;912;1069;0;0.87235;0.92395;0.9738;0.99325;1.024;1.00315;0.0;-1032;0.0713242058552952;6246;115810;1
70000;1;3;2;42;1;2;2;2;2;0;37042;36171;38355;39423;38659;39362;0;3100;2000;0;1500;1500;1;0.5291714285714286;0.5167285714285714;0.5479285714285714;0.5631857142857143;0.5522714285714285;0.5623142857142858;1.5;871;0.0;8100;229012;3
100000;0;3;3;43;0;0;0;0;0;0;61559;51163;43824;39619;35762;33258;2000;1606;1500;2000;1500;1000;0;0.61559;0.51163;0.43824;0.39619;0.35762;0.33258;0.0;10396;0.03909074917420793;9606;265185;3
310000;0;2;1;49;-2;-2;-2;-2;-2;-2;13465;7867;7600;11185;3544;464;7875;7600;11185;3544;464;0;0;0.04343548387096774;0.02537741935483871;0.024516129032258065;0.03608064516129032;0.01143225806451613;0.0014967741935483871;-2.0;5598;1.0010169060633023;30668;44125;3
180000;0;1;2;25;1;2;0;0;0;0;41402;41742;42758;43510;44420;45319;1300;2010;1762;1762;1790;1622;0;0.2300111111111111;0.2319;0.23754444444444445;0.24172222222222223;0.2467777777777778;0.25177222222222223;0.5;-340;0.031143692204494273;10246;259151;1
150000;0;1;2;29;2;0;0;0;0;0;46224;34993;31434;26518;21042;16540;1600;1718;1049;1500;2000;5000;0;0.30816;0.23328666666666667;0.20956;0.17678666666666668;0.14028;0.11026666666666667;0.3333333333333333;11231;0.045723430400365785;12867;176751;1
500000;0;1;1;45;-2;-2;-2;-2;-2;-2;1905;3640;162;0;151;2530;3640;162;0;151;2530;0;0;0.00381;0.00728;0.000324;0.0;0.000302;0.00506;-2.0;-1735;1.0;6483;8388;3
180000;0;3;1;34;0;0;0;-1;-1;-1;16386;15793;8441;7142;-679;8321;8500;1500;7500;679;9000;2000;0;0.09103333333333333;0.0877388888888889;0.04689444444444445;0.03967777777777778;-0.0037722222222222224;0.04622777777777778;-0.5;593;0.5382131324004306;29179;55404;2
180000;0;2;1;34;0;0;0;0;0;0;175886;173440;172308;168608;132202;129918;8083;7296;5253;4814;4816;3800;0;0.9771444444444445;0.9635555555555556;0.9572666666666667;0.9367111111111112;0.7344555555555555;0.7217666666666667;0.0;2446;0.04660401291512915;34062;952362;2
200000;0;1;2;34;-1;3;2;2;2;2;1587;1098;782;1166;700;1414;0;0;700;0;1200;0;0;0.007935;0.00549;0.00391;0.00583;0.0035;0.00707;1.6666666666666667;489;0.0;1900;6747;2
400000;0;2;1;29;0;0;0;0;0;0;400134;398857;404205;360199;356656;364089;17000;15029;30000;12000;12000;23000;0;1.000335;0.9971425;1.0105125;0.9004975;0.89164;0.9102225;0.0;1277;0.04262179176998272;109029;2284140;1
500000;0;3;1;28;0;0;0;0;0;0;22848;23638;18878;14937;13827;15571;1516;1300;1000;1000;2000;2000;1;0.045696;0.047276;0.037756;0.029874;0.027654;0.031142;0.0;-790;0.06413402149081987;8816;109699;1
70000;1;2;1;39;0;0;0;0;0;-1;70800;72060;69938;16518;14096;830;4025;2095;1000;2000;3000;0;0;1.0114285714285713;1.0294285714285714;0.9991142857142857;0.23597142857142858;0.20137142857142856;0.011857142857142858;-0.16666666666666666;-1260;0.055856230918678876;12120;244242;2
50000;1;1;2;29;2;2;2;2;2;2;24987;24300;26591;25865;27667;28264;0;2700;0;2225;1200;0;1;0.49974;0.486;0.53182;0.5173;0.55334;0.56528;2.0;687;0.0;6125;157674;1
50000;0;2;1;46;0;0;0;-2;-2;-2;28718;29166;0;0;0;0;1000;0;0;0;0;0;1;0.57436;0.58332;0.0;0.0;0.0;0.0;-1.0;-448;0.03428649797709662;1000;57884;3
130000;0;2;1;51;-1;-1;-2;-2;-1;-1;99;0;0;0;2353;0;0;0;0;2353;0;0;0;0.0007615384615384615;0.0;0.0;0.0;0.0181;0.0;-1.3333333333333333;99;0.0;2353;2452;4
200000;1;1;1;57;-2;-2;-2;-1;2;2;152519;148751;144076;8174;8198;7918;0;0;8222;300;0;1000;1;0.762595;0.743755;0.72038;0.04087;0.04099;0.03959;-0.5;3768;0.0;9522;469636;4
10000;1;2;1;56;2;2;2;0;0;0;2097;4193;3978;4062;4196;4326;2300;0;150;200;200;160;1;0.2097;0.4193;0.3978;0.4062;0.4196;0.4326;1.0;-2096;0.548533269735273;3010;22852;4
210000;0;1;2;30;2;-1;-1;-1;-1;-1;300;300;1159;2280;300;4250;300;1159;2280;300;4250;909;0;0.0014285714285714286;0.0014285714285714286;0.005519047619047619;0.010857142857142857;0.0014285714285714286;0.02023809523809524;-0.5;0;1.0;9198;8589;2
130000;0;3;2;29;1;-2;-2;-1;2;-1;-190;-9850;-9850;10311;10161;7319;0;0;20161;0;7319;13899;0;-0.0014615384615384616;-0.07576923076923077;-0.07576923076923077;0.07931538461538462;0.07816153846153846;0.0563;-0.5;9660;0.0;41379;7901;1
20000;1;4;2;22;2;0;0;0;0;0;18565;17204;17285;18085;11205;5982;0;1200;1000;500;1000;0;0;0.92825;0.8602;0.86425;0.90425;0.56025;0.2991;0.3333333333333333;1361;0.0;3700;88326;1
80000;1;1;2;31;-1;-1;-1;-1;-1;-1;780;0;390;390;390;390;0;390;390;390;390;390;0;0.00975;0.0;0.004875;0.004875;0.004875;0.004875;-1.0;780;0.0;1950;2340;2
320000;1;2;2;29;2;2;2;2;2;2;58267;59246;60184;58622;62307;63526;2500;2500;0;4800;2400;1600;1;0.182084375;0.18514375;0.188075;0.18319375;0.194709375;0.19851875;2.0;-979;0.04219694156567532;13800;362152;1
200000;0;2;1;32;-1;-1;-1;-1;2;-1;9076;5787;-684;5247;3848;3151;5818;15;9102;17;3165;1395;0;0.04538;0.028935;-0.00342;0.026235;0.01924;0.015755;-0.5;3289;1.0053568342837393;19512;26425;2
290000;0;1;2;37;1;-2;-1;-1;-1;-1;0;0;3155;0;2359;0;0;3155;0;2359;0;0;0;0.0;0.0;0.010879310344827586;0.0;0.008134482758620689;0.0;-0.8333333333333334;0;0.0;5514;5514;2
340000;1;1;2;32;-1;-1;-1;-1;-1;-1;3048;5550;23337;4291;80153;25820;5713;23453;4314;80552;25949;2016;0;0.00896470588235294;0.016323529411764705;0.06863823529411765;0.012620588235294118;0.23574411764705883;0.07594117647058823;-1.0;-2502;1.0293693693693693;141997;142199;2
20000;1;2;2;24;0;0;2;0;0;0;14619;17216;16642;16976;17332;18543;2850;0;610;630;1500;0;0;0.73095;0.8608;0.8321;0.8488;0.8666;0.92715;0.3333333333333333;-2597;0.16554368029739777;5590;101328;1
50000;1;3;2;25;-1;0;0;0;0;0;42838;37225;36087;9636;9590;10030;1759;1779;320;500;1000;1000;0;0.85676;0.7445;0.72174;0.19272;0.1918;0.2006;-0.16666666666666666;5613;0.04725319006044325;6358;145406;1
300000;0;1;1;45;-1;-1;-1;-1;-1;-1;291;291;291;291;291;291;291;291;291;291;291;291;0;0.00097;0.00097;0.00097;0.00097;0.00097;0.00097;-1.0;0;1.0;1746;1746;3
30000;0;2;2;22;0;0;0;0;0;0;28387;29612;30326;28004;26446;6411;1686;1400;560;3000;1765;0;1;0.9462333333333334;0.9870666666666666;1.0108666666666666;0.9334666666666667;0.8815333333333333;0.2137;0.0;-1225;0.05693637714440092;8411;149186;1
240000;0;2;2;44;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;-1.5;0;0.0;0;0;3
470000;0;3;3;33;0;0;0;0;0;0;165254;157784;162702;69923;29271;29889;6400;7566;3000;960;1000;3000;0;0.35160425531914896;0.33571063829787234;0.3461744680851064;0.14877234042553192;0.06227872340425532;0.0635936170212766;0.0;7470;0.04056178066217107;21926;614823;2
360000;0;1;2;26;0;0;0;0;0;-1;23411;27796;30400;33100;180000;196;4796;3400;3100;146900;196;2963;0;0.06503055555555555;0.0772111111111111;0.08444444444444445;0.09194444444444444;0.5;0.0005444444444444444;-0.16666666666666666;-4385;0.1725428119153835;161355;294903;1
60000;1;3;2;30;0;0;0;0;0;0;26324;27471;28108;21993;19899;19771;1576;1213;648;768;1140;0;1;0.4387333333333333;0.45785;0.46846666666666664;0.36655;0.33165;0.3295166666666667;0.0;-1147;0.057369589749190056;5345;143566;2
400000;0;2;1;44;0;0;2;0;0;0;131595;139060;126819;104430;104990;94058;10700;3;3050;3000;3200;2800;0;0.3289875;0.34765;0.3170475;0.261075;0.262475;0.235145;0.3333333333333333;-7465;0.07694520350927657;22753;700952;3
50000;0;3;2;49;0;0;0;0;0;0;48909;47863;21489;20414;19342;19482;1676;1302;700;699;849;826;0;0.97818;0.95726;0.42978;0.40828;0.38684;0.38964;0.0;1046;0.035016609907444166;6052;177499;3
160000;1;2;2;33;0;0;0;0;0;0;130028;107808;71934;118418;118407;120418;4400;3547;80000;4500;4800;4500;0;0.812675;0.6738;0.4495875;0.7401125;0.74004375;0.7526125;0.0;22220;0.04081329771445533;101747;667013;2
360000;0;1;1;45;-1;-1;2;0;-1;-1;390;1170;780;390;390;390;1170;0;0;390;390;390;1;0.0010833333333333333;0.00325;0.0021666666666666666;0.0010833333333333333;0.0010833333333333333;0.0010833333333333333;-0.3333333333333333;-780;1.0;2340;3510;3
160000;0;2;2;32;0;0;0;0;0;-1;3826;4751;6604;8604;7072;766;1147;2000;2000;0;766;2303;0;0.0239125;0.02969375;0.041275;0.053775;0.0442;0.0047875;-0.16666666666666666;-925;0.24142285834561145;8216;31623;2
130000;0;1;1;35;0;0;0;-1;-1;-1;81313;117866;17740;1330;7095;1190;40000;5000;1330;7095;1190;2090;0;0.6254846153846154;0.9066615384615384;0.13646153846153847;0.01023076923076923;0.05457692307692308;0.009153846153846153;-0.5;-36553;0.33936843534182887;56705;226534;2
20000;1;3;2;44;2;2;0;0;0;2;8583;8303;9651;10488;12314;11970;0;1651;1000;2000;0;1500;0;0.42915;0.41515;0.48255;0.5244;0.6157;0.5985;1.0;280;0.0;6151;61309;3
200000;1;1;1;53;2;2;2;2;2;2;138180;140774;142460;144098;147124;149531;6300;5500;5500;5500;5000;5000;1;0.6909;0.70387;0.7123;0.72049;0.73562;0.747655;2.0;-2594;0.04475258215295438;32800;862167;4
280000;0;1;2;39;-1;-1;-1;0;0;-2;7524;0;3968;3868;0;0;0;3968;0;0;0;0;0;0.02687142857142857;0.0;0.014171428571428571;0.013814285714285715;0.0;0.0;-0.8333333333333334;7524;0.0;3968;15360;2
100000;0;1;2;27;-2;-2;-2;-2;-2;-2;-2000;5555;0;0;0;0;7555;0;0;0;0;0;0;-0.02;0.05555;0.0;0.0;0.0;0.0;-2.0;-7555;1.36003600360036;7555;3555;1
160000;0;2;1;37;-1;-1;-1;-1;-1;-2;880;1602;840;840;0;0;1602;840;840;0;0;7736;0;0.0055;0.0100125;0.00525;0.00525;0.0;0.0;-1.1666666666666667;-722;1.0;11018;4162;2
60000;0;2;2;23;0;0;0;0;0;0;45648;46850;47214;19595;19209;19323;1937;1301;682;690;816;835;0;0.7608;0.7808333333333334;0.7869;0.32658333333333334;0.32015;0.32205;0.0;-1202;0.04134471718249733;6261;197839;1
90000;1;2;2;35;0;0;0;0;0;0;83725;85996;87653;35565;30942;30835;3621;3597;1179;1112;1104;1143;0;0.9302777777777778;0.9555111111111111;0.9739222222222222;0.39516666666666667;0.3438;0.3426111111111111;0.0;-2271;0.04210660960974929;11756;354716;2
360000;1;1;1;43;-1;-1;-1;-1;-1;0;3967;8322;3394;6451;26370;9956;8339;3394;12902;27000;0;68978;0;0.011019444444444445;0.023116666666666667;0.009427777777777778;0.017919444444444446;0.07325;0.027655555555555555;-0.8333333333333334;-4355;1.0020427781783225;120613;58460;3
150000;1;1;2;27;0;0;0;0;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0;0.5733933333333333;0.5740533333333333;0.5933733333333333;0.5985;0.5848333333333333;0.27192;0.0;-99;0.04681330422260417;23841;479411;1
50000;0;3;1;22;0;0;0;0;0;0;18722;18160;16997;13150;8866;7899;1411;1194;379;281;321;197;0;0.37444;0.3632;0.33994;0.263;0.17732;0.15798;0.0;562;0.07769823788546255;3783;83794;1
20000;1;2;1;38;0;0;0;0;0;-1;17973;19367;19559;18240;17928;150;1699;1460;626;1750;150;0;1;0.89865;0.96835;0.97795;0.912;0.8964;0.0075;-0.16666666666666666;-1394;0.08772654515412816;5685;93217;2
140000;1;1;2;32;-2;-2;-2;-2;-2;-2;672;10212;850;415;100;1430;10212;850;415;100;1430;0;0;0.0048;0.07294285714285714;0.006071428571428571;0.0029642857142857144;0.0007142857142857143;0.010214285714285714;-2.0;-9540;1.0;13007;13679;2
380000;0;1;2;30;-2;-2;-1;0;0;0;-81;-303;32475;32891;33564;34056;223;33178;1171;1197;1250;5000;0;-0.0002131578947368421;-0.0007973684210526316;0.08546052631578947;0.08655526315789473;0.08832631578947368;0.08962105263157895;-0.8333333333333334;222;0.0;42019;132602;2
480000;1;1;1;63;0;0;0;2;2;0;422069;431342;479432;487066;471145;469961;16078;55693;17000;0;18000;24200;0;0.8793104166666666;0.8986291666666667;0.9988166666666667;1.0147208333333333;0.9815520833333333;0.9790854166666667;0.6666666666666666;-9273;0.03727436697562491;130971;2761015;5
50000;0;3;2;22;0;0;0;0;0;0;44698;42254;38347;32496;23477;24094;1767;1362;1002;840;995;904;1;0.89396;0.84508;0.76694;0.64992;0.46954;0.48188;0.0;2444;0.04181852605670469;6870;205366;1
60000;0;2;2;26;2;2;2;2;2;0;56685;55208;59175;60218;55447;55305;0;5000;2511;6;3000;3000;0;0.94475;0.9201333333333334;0.98625;1.0036333333333334;0.9241166666666667;0.92175;1.6666666666666667;1477;0.0;13517;342038;1
70000;0;2;2;24;-1;-1;-2;-2;-2;-1;5580;0;0;0;0;26529;0;0;0;0;26529;2000;0;0.07971428571428571;0.0;0.0;0.0;0.0;0.37898571428571426;-1.5;5580;0.0;28529;32109;1
80000;0;2;1;36;-1;-1;-1;-1;-1;-1;6108;2861;3277;3319;1150;1150;2861;3279;3319;1150;1150;1035;0;0.07635;0.0357625;0.0409625;0.0414875;0.014375;0.014375;-1.0;3247;1.0;12794;17865;2
350000;1;1;2;52;-1;-1;-1;-1;-1;-1;713;2272;722;867;1150;5263;2272;722;867;1150;5263;5011;0;0.002037142857142857;0.006491428571428572;0.0020628571428571428;0.002477142857142857;0.003285714285714286;0.015037142857142857;-1.0;-1559;1.0;15285;10987;4
130000;1;2;2;38;0;0;0;-1;-1;-1;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0;1.3187538461538462;1.3721692307692308;0.30723076923076925;0.9267923076923077;0.3394384615384615;0.9736;-0.5;-6944;0.06114966756735545;287768;680938;2
